Time_s,Coherence,SNR,Frequency_Hz
377.0,0.6768,1.3537,228.0
378.0,0.9391,1.8782,228.5
379.0,0.6914,1.3827,232.5
380.0,0.909,1.8181,232.5
381.0,0.5797,1.1594,232.0
382.0,0.7514,1.5029,229.0
383.0,0.4279,0.8557,231.5
384.0,0.6692,1.3383,232.5
385.0,0.6998,1.3995,230.0
386.0,0.7837,1.5673,230.0
387.0,0.5353,1.0706,228.5
388.0,0.8706,1.7412,228.5
389.0,0.8854,1.7708,228.5
390.0,0.7997,1.5993,232.0
391.0,0.826,1.652,232.0
392.0,0.7564,1.5128,228.5
393.0,0.8628,1.7257,228.5
394.0,0.8882,1.7765,228.5
395.0,0.7397,1.4794,228.5
396.0,0.6284,1.2569,231.0
397.0,0.7771,1.5543,227.5
398.0,0.7024,1.4048,228.0
399.0,0.9624,1.9249,230.0
400.0,0.7289,1.4578,228.0
401.0,0.9561,1.9122,228.5
402.0,0.8546,1.7092,228.5
403.0,0.8439,1.6878,229.0
404.0,0.8213,1.6425,228.5
405.0,0.7531,1.5062,228.5
406.0,0.6385,1.277,228.5
407.0,0.8016,1.6033,229.5
408.0,0.715,1.4301,231.5
409.0,0.8974,1.7948,231.5
410.0,0.7545,1.509,231.5
411.0,0.6858,1.3716,230.0
412.0,0.6915,1.3829,228.5
413.0,0.7118,1.4236,229.0
414.0,0.6965,1.393,227.5
415.0,0.8909,1.7818,227.5
416.0,0.761,1.5221,232.0
417.0,0.795,1.59,229.5
418.0,0.7514,1.5028,231.0
419.0,0.7969,1.5938,231.0
420.0,0.8368,1.6735,230.0
421.0,0.4878,0.9757,227.5
422.0,0.8158,1.6316,230.0
423.0,0.7428,1.4855,230.0
424.0,0.6382,1.2764,227.5
425.0,0.8348,1.6696,228.0
426.0,0.7818,1.5635,231.0
427.0,0.9175,1.8351,232.0
428.0,0.9283,1.8567,232.0
429.0,0.7496,1.4992,228.5
430.0,0.8415,1.6829,228.0
431.0,0.7976,1.5952,230.0
432.0,0.8086,1.6173,227.5
433.0,0.7497,1.4995,228.5
434.0,0.8675,1.735,227.5
435.0,0.8772,1.7545,227.5
436.0,0.7959,1.5918,228.5
437.0,0.8484,1.6968,228.5
438.0,0.8484,1.6967,229.0
439.0,0.7416,1.4832,230.5
440.0,0.8572,1.7143,232.5
441.0,0.7272,1.4545,228.5
442.0,0.7734,1.5467,227.5
443.0,0.9044,1.8088,227.5
444.0,0.9021,1.8041,227.5
445.0,0.9443,1.8885,227.5
446.0,0.9698,1.9396,231.5
447.0,0.8763,1.7525,231.5
448.0,0.6365,1.2729,227.5
449.0,0.5403,1.0807,227.5
450.0,0.7486,1.4972,231.0
451.0,0.9669,1.9338,229.0
452.0,0.8793,1.7587,230.5
453.0,0.7944,1.5887,229.5
454.0,0.6546,1.3092,229.0
455.0,0.4956,0.9912,229.0
456.0,0.5366,1.0731,227.5
457.0,0.6003,1.2005,229.0
458.0,0.804,1.608,232.5
459.0,0.6798,1.3595,231.0
460.0,0.5702,1.1404,232.0
461.0,0.5138,1.0276,229.5
462.0,0.7352,1.4705,229.5
463.0,0.6879,1.3758,231.0
464.0,0.7712,1.5424,232.0
465.0,0.8246,1.6493,232.0
466.0,0.8305,1.6609,227.5
467.0,0.3901,0.7801,228.5
468.0,0.5821,1.1642,228.5
469.0,0.752,1.504,230.0
470.0,0.9176,1.8352,228.0
471.0,0.7686,1.5371,229.5
472.0,0.8719,1.7439,229.0
473.0,0.7531,1.5061,228.0
474.0,0.7981,1.5962,232.0
475.0,0.8906,1.7811,232.0
476.0,0.5464,1.0927,232.5
477.0,0.9106,1.8212,231.5
478.0,0.6465,1.293,230.5
479.0,0.7105,1.4211,228.5
480.0,0.6846,1.3693,227.5
481.0,0.7554,1.5107,227.5
482.0,0.8198,1.6396,227.5
483.0,0.9037,1.8074,227.5
484.0,0.888,1.7761,227.5
485.0,0.8427,1.6855,231.5
486.0,0.6771,1.3542,227.5
487.0,0.8704,1.7408,228.0
488.0,0.6189,1.2377,231.5
489.0,0.8071,1.6143,230.0
490.0,0.8104,1.6208,230.0
491.0,0.7796,1.5592,228.5
492.0,0.5378,1.0755,228.0
493.0,0.6532,1.3063,229.0
494.0,0.6484,1.2967,231.5
495.0,0.5638,1.1275,227.5
496.0,0.5317,1.0633,230.5
497.0,0.8907,1.7813,228.0
498.0,0.6445,1.289,227.5
499.0,0.5736,1.1472,230.0
500.0,0.6426,1.2852,228.5
501.0,0.8519,1.7038,229.5
502.0,0.88,1.7601,228.5
503.0,0.9193,1.8385,228.0
504.0,0.7119,1.4239,230.5
505.0,0.9046,1.8091,228.0
506.0,0.9266,1.8532,232.0
507.0,0.3796,0.7592,228.5
508.0,0.6047,1.2094,229.0
509.0,0.9012,1.8024,229.0
510.0,0.652,1.304,229.5
511.0,0.5979,1.1958,228.5
512.0,0.747,1.494,228.5
513.0,0.735,1.4699,228.0
514.0,0.7133,1.4266,229.5
515.0,0.6824,1.3649,229.5
516.0,0.717,1.4341,229.0
517.0,0.7423,1.4846,230.5
518.0,0.7342,1.4683,228.0
519.0,0.6237,1.2473,228.0
520.0,0.7694,1.5388,229.0
521.0,0.9077,1.8155,229.0
522.0,0.8419,1.6839,229.0
523.0,0.5768,1.1536,230.5
524.0,0.7224,1.4448,232.0
525.0,0.8944,1.7888,228.0
526.0,0.7581,1.5163,227.5
527.0,0.6266,1.2532,231.5
528.0,0.611,1.222,229.0
529.0,0.7166,1.4332,230.5
530.0,0.7741,1.5482,229.0
531.0,0.8497,1.6994,229.5
532.0,0.6993,1.3985,232.0
533.0,0.5877,1.1755,229.0
534.0,0.8856,1.7712,229.0
535.0,0.7972,1.5945,232.5
536.0,0.9198,1.8395,232.5
537.0,0.6706,1.3412,231.0
538.0,0.8257,1.6514,228.5
539.0,0.7584,1.5168,230.5
540.0,0.6642,1.3285,229.0
541.0,0.9098,1.8196,228.5
542.0,0.7652,1.5304,228.5
543.0,0.6768,1.3537,228.5
544.0,0.5604,1.1208,228.0
545.0,0.4385,0.877,228.5
546.0,0.5152,1.0304,232.5
547.0,0.8603,1.7207,230.0
548.0,0.8546,1.7092,231.0
549.0,0.6911,1.3821,228.0
550.0,0.5706,1.1411,227.5
551.0,0.6502,1.3005,230.0
552.0,0.4776,0.9552,228.0
553.0,0.6684,1.3368,231.0
554.0,0.8374,1.6748,230.0
555.0,0.7478,1.4955,230.0
556.0,0.8504,1.7009,227.5
557.0,0.8388,1.6776,229.5
558.0,0.5032,1.0063,227.5
559.0,0.3482,0.6965,229.5
560.0,0.6848,1.3696,230.5
561.0,0.5823,1.1645,229.5
562.0,0.5782,1.1564,232.5
563.0,0.7548,1.5096,228.0
564.0,0.6283,1.2565,227.5
565.0,0.786,1.572,232.0
566.0,0.6661,1.3322,227.5
567.0,0.6308,1.2616,228.0
568.0,0.8318,1.6636,231.0
569.0,0.5438,1.0876,231.0
570.0,0.7655,1.5311,230.0
571.0,0.863,1.726,229.0
572.0,0.9154,1.8308,231.0
573.0,0.7738,1.5476,228.0
574.0,0.8555,1.711,229.0
575.0,0.8616,1.7233,229.0
576.0,0.7229,1.4457,228.5
577.0,0.9085,1.8171,230.5
578.0,0.8548,1.7096,230.5
579.0,0.774,1.548,231.0
580.0,0.7807,1.5614,231.5
581.0,0.7586,1.5172,231.5
582.0,0.4972,0.9943,231.0
583.0,0.6922,1.3844,227.5
584.0,0.7354,1.4709,232.0
